# Start of Music
bpm 60

num_parts 2

# Instrument: 

part
num_notes 552
6.15 d#5 0.18
6.15 a#5 0.18
6.52 d#5 0.18
6.52 a#5 0.18
6.89 d#5 0.18
6.89 a#5 0.18
7.27 d#5 0.18
7.27 a#5 0.18
7.64 d#5 0.18
7.64 a#5 0.18
8.01 d#5 0.18
8.01 a#5 0.18
8.39 d#5 0.18
8.39 a#5 0.18
8.76 d#5 0.18
8.76 a#5 0.18
8.94 a#4 2.83
8.94 d#5 2.83
11.93 f#4 2.12
11.93 b4 2.12
14.16 f4 0.71
14.16 a#4 0.71
14.91 d#4 2.83
14.91 a#4 2.83
17.89 f#4 2.12
17.89 b4 2.12
20.12 a#4 0.71
20.12 c#5 0.71
20.87 d#4 0.18
21.06 f4 0.18
21.24 f#4 0.18
21.43 g#4 0.18
21.61 a#4 0.35
21.99 d#4 0.18
22.17 c#5 0.18
22.36 a#4 0.35
22.73 d#4 0.35
23.11 a#4 0.18
23.29 g#4 0.18
23.48 f#4 0.18
23.66 f4 0.18
23.85 d#4 0.18
24.04 f4 0.18
24.22 f#4 0.18
24.41 g#4 0.18
24.60 a#4 0.35
24.97 g#4 0.18
25.16 f#4 0.18
25.34 f4 0.18
25.53 a#3 0.18
25.71 f4 0.18
25.90 f#4 0.18
26.09 f4 0.18
26.27 d#4 0.18
26.46 d4 0.18
26.65 f4 0.18
26.83 d#4 0.18
27.02 f4 0.18
27.20 f#4 0.18
27.39 g#4 0.18
27.58 a#4 0.35
27.95 g#4 0.18
28.14 c#5 0.18
28.32 d#5 0.35
28.70 d#5 0.35
29.07 f5 0.35
29.44 f#5 0.35
29.81 d#5 0.18
30.00 f5 0.18
30.19 f#5 0.18
30.37 g#5 0.18
30.56 a#5 0.35
30.93 g#5 0.18
31.12 f#5 0.18
31.30 g#5 0.35
31.68 f5 0.35
32.05 f#5 0.35
32.42 g#5 0.35
32.80 a#4 0.71
32.80 d#5 0.71
33.54 d#5 0.18
33.73 f5 0.18
33.91 f#5 0.35
34.29 c#5 0.53
34.29 f5 0.53
34.84 a#4 0.53
35.40 f5 0.35
35.78 c#5 0.35
35.78 f5 0.35
36.15 f#5 0.18
36.34 d#5 0.53
36.89 c#5 0.35
37.27 g#4 0.35
37.27 c#5 0.35
37.64 a#4 0.19
37.64 d#5 0.19
37.83 a#4 0.53
38.01 a#2 0.35
38.39 a#4 0.35
38.39 d#5 0.35
38.76 a#4 0.71
38.76 d#5 0.71
39.50 a#4 0.18
39.50 d#5 0.18
39.69 c#5 0.18
39.69 f5 0.18
39.88 d#5 0.35
39.88 f#5 0.35
40.25 c#5 0.53
40.25 f5 0.53
40.81 d#5 0.53
40.81 f#5 0.53
41.37 f5 0.35
41.37 g#5 0.35
41.74 a#4 0.53
41.74 d#5 0.53
42.30 f#5 0.18
42.30 a#5 0.18
42.48 f#5 1.42
42.48 a#5 1.42
43.98 f4 0.18
43.98 g#4 0.18
44.16 f#4 0.18
44.16 a#4 0.18
44.35 g#4 0.35
44.35 c#5 0.35
44.72 a#4 0.71
44.72 d#5 0.71
45.47 a#4 0.18
45.47 d#5 0.18
45.65 c#5 0.18
45.65 f5 0.18
45.84 d#5 0.35
45.84 f#5 0.35
46.21 c#5 0.53
46.21 f5 0.53
46.77 f#4 0.53
46.77 a#4 0.53
47.33 c#5 0.35
47.33 f5 0.35
47.70 c#5 0.35
47.70 f5 0.35
48.07 d#5 0.18
48.07 f#5 0.18
48.26 a#4 0.53
48.26 d#5 0.53
48.82 g#4 0.35
48.82 c#5 0.35
49.19 g#4 0.35
49.19 c#5 0.35
49.57 a#4 0.18
49.57 d#5 0.18
49.75 f#4 0.53
49.75 a#4 0.53
50.31 a#4 0.35
50.31 f5 0.35
50.68 a#4 0.71
50.68 d#5 0.71
51.43 a#4 0.18
51.43 d#5 0.18
