# Start of Music
bpm 60

num_parts 1

# Instrument: 

part
num_notes 1447
0.18 e5 0.17
0.36 a5 0.17
0.54 g#5 0.17
0.71 a5 0.17
0.89 c6 0.17
1.07 a5 0.17
1.25 e5 0.17
1.43 a4 0.17
1.61 e5 0.17
1.79 a5 0.17
1.96 g#5 0.17
2.14 a5 0.17
2.32 c6 0.17
2.50 a5 0.17
2.68 e5 0.17
2.86 a4 0.17
3.04 c5 0.17
3.21 e5 0.17
3.39 f5 0.17
3.57 g#4 0.17
3.75 f5 0.17
3.93 e5 0.17
4.11 d5 0.17
4.29 c5 0.17
4.46 e5 0.17
4.64 g#5 0.17
4.82 a5 0.17
5.00 e4 0.17
5.18 d5 0.17
5.36 c5 0.17
5.54 b4 0.17
5.71 a4 0.17
5.89 c5 0.17
6.07 e5 0.17
6.25 f5 0.17
6.43 g#4 0.17
6.61 f5 0.17
6.79 e5 0.17
6.96 d5 0.17
7.14 c5 0.17
7.32 e5 0.17
7.50 g#5 0.17
7.68 a5 0.17
7.86 e4 0.17
8.04 d5 0.17
8.21 c5 0.17
8.39 b4 0.17
8.57 a4 0.17
8.75 c5 0.17
8.93 g#4 0.17
9.11 a4 0.17
9.29 f4 0.17
9.46 d5 0.17
9.64 g#4 0.17
9.82 a4 0.17
10.00 e4 0.17
10.18 c5 0.17
10.36 g#4 0.17
10.54 a4 0.17
10.71 d4 0.17
10.89 c5 0.17
11.07 b4 0.17
11.25 a4 0.17
11.43 g#4 0.17
11.61 e4 0.17
11.79 g#4 0.17
11.96 b4 0.17
12.14 e5 0.17
12.32 g#5 0.17
12.50 b5 0.17
12.68 d6 0.17
12.86 f5 0.17
13.04 d6 0.17
13.21 b5 0.17
13.39 g#5 0.17
13.57 e5 0.17
13.75 d5 0.17
13.93 c5 0.17
14.11 b4 0.17
14.29 c5 0.17
14.46 a4 0.17
14.64 c5 0.17
14.82 e5 0.17
15.00 a5 0.17
15.18 c6 0.17
15.36 e6 0.17
15.54 f5 0.17
15.71 g5 0.17
15.89 a#5 0.17
16.07 g5 0.17
16.25 e5 0.17
16.43 c5 0.17
16.61 a#4 0.17
16.79 a4 0.17
16.96 g4 0.17
17.14 a4 0.17
17.32 f4 0.17
17.50 a4 0.17
17.68 c5 0.17
17.86 d5 0.17
18.04 f5 0.17
18.21 a5 0.17
18.39 c5 0.17
18.57 b4 0.17
18.75 g4 0.17
18.93 b4 0.17
19.11 d5 0.17
19.29 e5 0.17
19.46 g5 0.17
19.64 b5 0.17
19.82 d5 0.17
20.00 c5 0.17
20.18 a4 0.17
20.36 c5 0.17
20.54 e5 0.17
20.71 f5 0.17
20.89 a5 0.17
21.07 c6 0.17
21.25 e5 0.17
21.43 d5 0.17
21.61 b4 0.17
21.79 d5 0.17
21.96 f#5 0.17
22.14 g5 0.17
22.32 b5 0.17
22.50 d6 0.17
22.68 f5 0.17
22.86 e5 0.17
23.04 g5 0.17
23.21 c6 0.17
23.39 b5 0.17
23.57 c6 0.17
23.75 e6 0.17
23.93 c6 0.17
24.11 g5 0.17
24.29 c5 0.17
24.46 g5 0.17
24.64 c6 0.17
24.82 b5 0.17
25.00 c6 0.17
25.18 e6 0.17
25.36 c6 0.17
25.54 g5 0.17
25.71 c5 0.17
25.89 g5 0.17
26.07 a#5 0.17
26.25 a5 0.17
26.43 a#5 0.17
26.61 e6 0.17
26.79 a#5 0.17
26.96 g5 0.17
27.14 c5 0.17
27.32 g5 0.17
27.50 a#5 0.17
27.68 a5 0.17
27.86 a#5 0.17
28.04 e6 0.17
28.21 a#5 0.17
28.39 g5 0.17
28.57 c#5 0.17
28.75 g5 0.17
28.93 a#5 0.17
29.11 a5 0.17
29.29 a#5 0.17
29.46 e6 0.17
29.64 a#5 0.17
29.82 g5 0.17
30.00 c#5 0.17
30.18 g5 0.17
30.36 e5 0.17
30.54 c#5 0.17
30.71 a4 0.17
30.89 g4 0.17
31.07 f4 0.17
31.25 e4 0.17
31.43 d4 0.17
31.61 g5 0.17
31.79 f5 0.17
31.96 e5 0.17
32.14 f5 0.17
32.32 a5 0.17
32.50 f5 0.17
32.68 d5 0.17
