# Start of Music
bpm 60

num_parts 2

# Instrument: FL Keys (MIDI)

part
num_notes 401
16.00 g#4 0.50
16.75 g#4 0.25
17.00 b4 0.25
17.25 g#4 0.25
17.50 f#4 0.25
17.75 g#4 0.25
18.43 a#4 0.08
18.50 b4 0.25
19.00 f#4 0.25
19.50 b4 0.25
20.00 g#4 0.50
20.75 g#4 0.25
21.00 b4 0.25
21.25 g#4 0.25
21.50 f#4 0.25
21.75 g#4 0.25
22.25 g#4 0.25
22.50 b4 0.25
22.75 g#4 0.25
23.00 d#4 0.25
23.25 a4 0.25
23.75 f#4 0.25
24.00 g#4 0.50
24.75 g#4 0.25
25.00 b4 0.25
25.25 g#4 0.25
25.50 f#4 0.25
25.75 g#4 0.25
26.50 d#4 0.25
26.75 d#4 0.25
27.00 d#4 0.25
27.25 f#4 0.25
27.50 f#4 0.25
27.75 f#4 0.25
28.00 g#4 0.50
28.75 g#4 0.25
29.00 b4 0.25
29.25 g#4 0.25
29.50 f#4 0.25
29.75 g#4 0.25
30.25 g#4 0.25
30.50 b4 0.25
30.75 g#4 0.25
31.00 b4 0.25
31.25 c#5 0.25
31.50 g#4 0.25
31.75 f#4 0.25
32.00 d#4 0.25
32.25 d#4 0.25
32.50 a#4 0.25
32.75 b4 0.25
33.00 b4 0.25
33.25 a#4 0.25
33.50 g#4 0.25
33.75 d#4 0.25
34.25 d#4 0.25
34.50 b4 0.25
34.75 g#4 0.25
35.00 a#4 0.75
35.75 g#4 0.12
35.88 a#4 0.12
36.00 b4 0.25
36.25 g#4 0.12
36.38 a#4 0.12
36.50 b4 0.25
36.75 g#4 0.12
36.88 a#4 0.12
37.00 c#5 0.25
37.25 a#4 0.12
37.38 b4 0.12
37.50 c#5 0.25
37.75 b4 0.12
37.88 c#5 0.12
38.00 d#5 0.25
38.25 b4 0.12
38.38 a#4 0.12
38.50 b4 0.25
38.75 b4 0.12
38.88 g#4 0.12
39.00 a#4 0.25
39.25 b4 0.12
39.38 a#4 0.12
39.50 b4 0.25
39.75 a#4 0.25
40.00 g#4 0.50
40.50 a#4 0.25
40.75 b4 0.25
41.00 b4 0.25
41.25 a#4 0.25
41.50 g#4 0.25
41.75 e4 0.50
41.75 g#4 0.50
42.50 a#4 0.25
42.75 b4 0.25
43.00 b4 0.25
43.25 a#4 0.25
43.50 g#4 0.25
43.75 f#4 0.50
43.75 d#4 0.50
44.50 a#4 0.25
44.75 b4 0.25
45.00 b4 0.25
45.25 a#4 0.25
45.50 g#4 0.25
45.75 a#4 0.50
45.75 c#5 0.50
46.25 b4 0.25
46.50 a#4 0.25
46.75 b4 0.50
47.25 a#4 0.25
47.50 f#4 0.25
48.00 g#4 0.50
48.50 a#4 0.25
48.75 b4 0.25
49.00 b4 0.25
49.25 a#4 0.25
49.50 g#4 0.25
49.75 e4 0.50
49.75 g#4 0.50
50.50 a#4 0.25
50.75 b4 0.25
51.00 b4 0.25
51.25 a#4 0.25
51.50 g#4 0.25
51.75 f#4 0.50
51.75 d#4 0.50
52.50 a#4 0.25
52.75 b4 0.25
53.00 b4 0.25
53.25 a#4 0.25
53.50 g#4 0.25
53.75 a#4 0.50
53.75 c#5 0.50
54.25 b4 0.25
54.50 a#4 0.25
54.75 b4 0.50
55.25 a#4 0.25
55.50 f#4 0.25
56.00 g#4 0.50
56.50 a#4 0.25
56.75 b4 0.25
57.00 b4 0.25
57.25 a#4 0.25
57.50 g#4 0.25
57.75 e4 0.50
57.75 g#4 0.50
58.50 a#4 0.25
58.75 b4 0.25
59.00 b4 0.25
59.25 a#4 0.25
59.50 g#4 0.25
59.75 f#4 0.50
59.75 d#4 0.50
60.50 a#4 0.25
60.75 b4 0.25
61.00 b4 0.25
61.25 a#4 0.25
61.50 g#4 0.25
61.75 a#4 0.50
61.75 c#5 0.50
62.25 b4 0.25
62.50 a#4 0.25
62.75 b4 0.50
63.25 a#4 0.25
63.50 f#4 0.25
64.00 g#4 0.50
64.50 a#4 0.25
64.75 b4 0.25
65.00 b4 0.25
65.25 a#4 0.25
65.50 g#4 0.25
65.75 e4 0.50
65.75 g#4 0.50
66.50 a#4 0.25
66.75 b4 0.25
67.00 b4 0.25
67.25 a#4 0.25
67.50 g#4 0.25
67.75 f#4 0.50
67.75 d#4 0.50
68.50 a#4 0.25
68.75 b4 0.25
69.00 b4 0.25
69.25 a#4 0.25
69.50 g#4 0.25
69.75 a#4 0.50
69.75 c#5 0.50
70.25 b4 0.25
70.50 a#4 0.25
70.75 b4 0.50
71.25 a#4 0.25
71.50 f#4 0.25
72.00 g#4 0.50
72.50 a#4 0.25
72.75 b4 0.25
73.00 b4 0.25
73.25 a#4 0.25
73.50 g#4 0.25
73.75 e4 0.50
73.75 g#4 0.50
74.50 a#4 0.25
74.75 b4 0.25
75.00 b4 0.25
75.25 a#4 0.25
75.50 g#4 0.25
75.75 f#4 0.50
75.75 d#4 0.50
76.50 a#4 0.25
76.75 b4 0.25
77.00 b4 0.25
77.25 a#4 0.25
77.50 g#4 0.25
77.75 a#4 0.50
77.75 c#5 0.50
78.25 b4 0.25
78.50 a#4 0.25
78.75 b4 0.50
79.25 a#4 0.25
