# Start of Music
bpm 60

num_parts 2

# Instrument: 8-Bit Square

part
num_notes 70
0.00 c4 0.45
0.45 b3 0.15
0.60 a#3 0.15
1.05 g#3 0.15
1.20 a#3 0.15
1.35 c4 0.15
1.50 c#4 0.15
1.65 f4 0.15
1.80 g#4 0.90
2.85 g#3 0.15
3.00 a#3 0.15
3.15 c4 0.15
3.30 c#4 0.15
3.45 f4 0.15
3.60 c4 0.45
4.05 b3 0.15
4.20 a#3 0.15
4.65 g#3 0.15
4.80 a#3 0.15
4.95 c4 0.15
5.10 c#4 0.15
5.25 a#3 0.15
5.40 f#4 0.90
6.45 f#4 0.15
6.60 g#4 0.15
6.75 a#4 0.15
6.90 g#4 0.08
6.98 a#4 0.08
7.05 g#4 0.07
7.12 f#4 0.08
7.20 f4 0.45
7.65 e4 0.15
7.80 d#4 0.15
8.25 d#4 0.15
8.40 f4 0.15
8.55 f#4 0.15
8.70 f4 0.15
8.85 e4 0.15
9.00 d#4 0.45
9.45 d4 0.15
9.60 c#4 0.15
10.05 c#4 0.15
10.20 d#4 0.07
10.28 e4 0.08
10.35 f4 0.15
10.50 d#4 0.15
10.65 c#4 0.15
10.80 c4 0.45
11.25 b3 0.15
11.40 a#3 0.26
11.70 a#3 0.07
11.78 c4 0.08
11.85 a#3 0.07
11.93 a3 0.07
12.00 a#3 0.08
12.15 c4 0.15
12.30 c#4 0.15
12.45 a#3 0.15
12.90 f#3 0.30
12.90 a#3 0.30
13.20 c#4 0.30
13.20 a#3 0.30
12.60 d#4 0.90
13.50 g#3 0.11
13.50 c4 0.15
13.65 g#3 0.15
13.80 a#3 0.15
13.95 c4 0.15
14.10 c#4 0.15
14.25 f4 0.15
end
# Instrument: 8-Bit Sawtooth

part
num_notes 118
0.00 c#2 0.15
0.30 c#3 0.15
0.30 g#2 0.15
0.30 f2 0.15
0.60 g#2 0.15
0.60 f2 0.15
0.60 c#3 0.15
0.90 g#1 0.15
1.20 g#2 0.15
1.20 f2 0.15
1.20 c#3 0.15
1.50 g#2 0.15
1.50 c#3 0.15
1.50 f2 0.15
1.80 c#2 0.15
2.10 c#3 0.15
2.10 g#2 0.15
2.10 f2 0.15
2.40 c#3 0.15
2.40 f2 0.15
2.40 g#2 0.15
2.70 g#1 0.15
3.00 g#2 0.15
3.00 c#3 0.15
3.00 f2 0.15
3.30 c#3 0.15
3.30 g#2 0.15
3.30 f2 0.15
3.60 c#2 0.15
3.90 f2 0.15
3.90 c#3 0.15
3.90 g#2 0.15
4.20 c#3 0.15
4.20 g#2 0.15
4.20 f2 0.15
4.50 g#1 0.15
4.80 g#2 0.15
4.80 f2 0.15
4.80 c#3 0.15
5.10 c#3 0.15
5.10 g#2 0.15
5.10 f2 0.15
5.40 d#2 0.15
5.70 a#2 0.15
5.70 c#3 0.15
5.70 f#2 0.15
5.70 a#3 0.30
5.70 f#3 0.30
6.00 f#2 0.15
6.00 a#2 0.15
6.00 c#3 0.15
6.00 c#4 0.30
6.00 a#3 0.30
6.30 g#1 0.15
6.30 c4 0.22
6.30 g#3 0.22
6.60 d#3 0.15
6.60 c3 0.15
6.60 g#2 0.15
6.90 g#2 0.15
6.90 d#3 0.15
6.90 c3 0.15
7.50 f2 0.15
7.50 c2 0.15
7.50 a2 0.15
7.80 c2 0.15
7.80 a2 0.15
7.80 f2 0.15
7.20 f1 0.90
8.40 a2 0.15
8.40 f2 0.15
8.40 c2 0.15
8.70 f2 0.15
8.70 c2 0.15
8.70 a2 0.15
8.10 a1 0.90
9.30 a#2 0.15
9.30 c#2 0.15
9.30 f2 0.15
9.60 c#2 0.15
9.60 a#2 0.15
9.60 f2 0.15
9.00 a#1 0.90
10.20 f2 0.15
10.20 a#2 0.15
10.20 c#2 0.15
10.50 c#2 0.15
10.50 f2 0.15
10.50 a#2 0.15
9.90 g#1 0.90
11.10 g2 0.15
11.10 c#2 0.15
11.10 a#2 0.15
11.40 a#2 0.15
11.40 g2 0.15
11.40 c#2 0.15
10.80 g1 0.90
12.00 a#2 0.15
12.00 g2 0.15
12.00 c#2 0.15
12.30 c#2 0.15
12.30 g2 0.15
12.30 a#2 0.15
11.70 d#1 0.90
12.90 a#2 0.15
12.90 f#2 0.15
12.90 c#2 0.15
13.20 c#2 0.15
13.20 a#2 0.15
13.20 f#2 0.15
12.60 f#1 0.90
13.80 d#3 0.15
13.80 c3 0.15
13.80 g#2 0.15
14.10 d#3 0.15
14.10 c3 0.15
14.10 g#2 0.15
13.50 g#1 0.90
end
