# Start of Music
bpm 40

num_parts 2

# Instrument: 

part
num_notes 19245
0.00 g5 0.83
0.83 g5 0.83
1.67 a5 0.10
1.77 g5 0.10
1.87 a5 0.41
2.29 b5 0.21
2.50 a5 0.41
2.92 g5 0.21
3.12 f#5 0.21
3.33 e5 0.83
4.17 d5 0.83
5.00 g4 0.11
5.11 f#4 0.09
5.21 g4 0.62
5.83 f#4 0.11
5.94 g4 0.10
6.04 a4 0.10
6.15 g4 0.10
6.25 a4 0.10
6.35 g4 0.10
6.46 a4 0.11
6.56 g4 0.11
6.66 a4 0.11
6.77 g4 0.10
6.87 a4 0.11
6.98 g4 0.10
7.08 f#4 0.21
7.29 g4 0.21
7.50 a4 0.10
7.60 g4 0.10
7.71 f#4 0.21
7.92 g4 0.10
8.02 f#4 0.10
8.12 e4 0.21
8.33 e4 0.83
9.17 d4 0.83
10.00 d5 0.83
10.83 d5 0.83
11.67 e5 0.10
11.77 d5 0.10
11.87 e5 0.41
12.29 f5 0.21
12.50 e5 0.41
12.92 d5 0.21
13.12 c5 0.21
13.33 b4 0.83
14.17 a4 0.41
14.58 g5 0.10
14.69 f#5 0.10
14.79 e5 0.10
14.90 f#5 0.10
15.00 g5 0.10
15.10 f#5 0.31
15.42 a5 0.10
15.52 g5 0.31
15.83 f#5 0.10
15.94 e5 0.31
16.25 d5 0.10
16.35 c5 0.31
16.67 c5 0.41
17.08 a5 0.20
17.29 c5 0.21
17.50 b4 0.10
17.60 g4 0.31
17.92 f#4 0.41
18.33 g4 0.10
18.33 f#4 0.20
18.44 f#4 0.10
18.54 g4 1.46
20.00 b4 0.83
20.83 b4 0.83
21.67 c#5 0.10
21.77 b4 0.10
21.87 c#5 0.41
22.29 d5 0.21
22.50 d5 0.21
22.71 c#5 0.21
22.92 b4 0.21
23.12 a4 1.87
23.33 d5 1.66
25.00 g5 0.83
25.00 g4 0.83
25.00 e5 0.83
25.00 b4 0.83
25.83 a5 0.31
26.15 g5 0.10
26.25 a5 0.10
26.35 g5 0.10
26.46 a5 0.10
26.56 g5 0.10
26.66 a5 0.10
26.77 g5 0.10
26.87 a5 0.10
26.98 g5 0.10
27.08 f#5 0.21
27.29 g5 0.21
27.50 g5 0.41
27.92 f#5 0.21
28.12 e5 0.21
28.33 e5 0.31
28.65 d5 0.10
28.75 c#5 0.10
28.85 d5 0.10
28.96 c#5 0.10
29.06 d5 0.10
29.16 c#5 0.10
29.27 d5 0.10
29.37 c#5 0.20
29.58 e5 0.41
30.00 a5 0.21
30.21 g5 0.21
30.42 f#5 0.21
30.62 e5 0.21
30.83 d5 0.41
31.25 a4 0.94
32.19 b4 0.10
32.29 c5 0.21
32.50 b4 0.21
32.71 a4 0.21
32.92 g4 0.21
33.12 f#4 0.21
33.33 e4 0.41
33.75 d5 0.41
34.17 c#5 0.52
34.69 d5 0.10
34.79 e5 0.21
35.00 d5 0.21
35.21 c#5 0.21
35.42 b4 0.21
35.00 f#4 0.83
35.62 a4 0.21
35.83 g5 0.41
35.83 e4 0.62
36.46 f#4 0.21
36.25 b4 0.83
37.08 c#5 0.41
37.50 c#5 0.21
37.71 d5 0.31
38.02 e5 0.10
38.12 d5 0.10
36.67 g4 1.66
38.23 c#5 0.10
38.33 c#5 0.83
39.17 d5 0.83
38.33 f#4 1.66
40.00 g5 0.83
40.83 g5 0.83
41.67 a5 0.10
41.77 g5 0.10
41.87 a5 0.41
42.29 b5 0.21
42.50 a5 0.41
42.92 g5 0.21
43.12 f#5 0.21
43.33 e5 0.83
44.17 d5 0.83
45.00 g4 0.11
45.11 f#4 0.09
45.21 g4 0.62
45.83 f#4 0.11
45.94 g4 0.10
46.04 a4 0.10
46.15 g4 0.10
46.25 a4 0.10
46.35 g4 0.10
46.46 a4 0.11
46.56 g4 0.11
46.66 a4 0.11
46.77 g4 0.10
46.87 a4 0.11
46.98 g4 0.10
47.08 f#4 0.21
47.29 g4 0.21
47.50 a4 0.10
47.60 g4 0.10
47.71 f#4 0.21
47.92 g4 0.10
48.02 f#4 0.10
48.12 e4 0.21
48.33 e4 0.83
49.17 d4 0.83
50.00 d5 0.83
50.83 d5 0.83
51.67 e5 0.10
51.77 d5 0.10
51.87 e5 0.41
52.29 f5 0.21
52.50 e5 0.41
52.92 d5 0.21
53.12 c5 0.21
53.33 b4 0.83
54.17 a4 0.41
54.58 g5 0.10
54.69 f#5 0.10
54.79 e5 0.10
54.90 f#5 0.10
55.00 g5 0.10
55.10 f#5 0.31
55.42 a5 0.10
55.52 g5 0.31
55.83 f#5 0.10
55.94 e5 0.31
56.25 d5 0.10
56.35 c5 0.31
56.67 c5 0.41
57.08 a5 0.20
57.29 c5 0.21
57.50 b4 0.10
57.60 g4 0.31
57.92 f#4 0.41
58.33 g4 0.10
58.33 f#4 0.20
58.44 f#4 0.10
58.54 g4 1.46
60.00 b4 0.83
60.83 b4 0.83
61.67 c#5 0.10
61.77 b4 0.10
61.87 c#5 0.41
62.29 d5 0.21
62.50 d5 0.21
62.71 c#5 0.21
62.92 b4 0.21
63.12 a4 1.87
63.33 d5 1.66
65.00 g5 0.83
65.00 g4 0.83
65.00 e5 0.83
65.00 b4 0.83
65.83 a5 0.31
66.15 g5 0.10
66.25 a5 0.10
66.35 g5 0.10
66.46 a5 0.10
66.56 g5 0.10
66.66 a5 0.10
66.77 g5 0.10
66.87 a5 0.10
66.98 g5 0.10
67.08 f#5 0.21
67.29 g5 0.21
67.50 g5 0.41
67.92 f#5 0.21
68.12 e5 0.21
68.33 e5 0.31
68.65 d5 0.10
68.75 c#5 0.10
68.85 d5 0.10
68.96 c#5 0.10
69.06 d5 0.10
69.16 c#5 0.10
69.27 d5 0.10
69.37 c#5 0.20
69.58 e5 0.41
70.00 a5 0.21
70.21 g5 0.21
70.42 f#5 0.21
70.62 e5 0.21
70.83 d5 0.41
71.25 a4 0.94
72.19 b4 0.10
72.29 c5 0.21
72.50 b4 0.21
72.71 a4 0.21
72.92 g4 0.21
73.12 f#4 0.21
73.33 e4 0.41
73.75 d5 0.41
74.17 c#5 0.52
74.69 d5 0.10
74.79 e5 0.21
75.00 d5 0.21
75.21 c#5 0.21
75.42 b4 0.21
75.00 f#4 0.83
75.62 a4 0.21
75.83 g5 0.41
75.83 e4 0.62
76.46 f#4 0.21
76.25 b4 0.83
77.08 c#5 0.41
