# Start of Music
bpm 60

num_parts 2

# Instrument: 

part
num_notes 589
0.00 d4 0.12
0.12 d4 0.12
0.25 d5 0.12
0.50 a4 0.12
0.88 g#4 0.12
1.12 g4 0.12
1.38 f4 0.24
1.62 d4 0.12
1.75 f4 0.12
1.88 g4 0.12
2.00 c4 0.12
2.12 c4 0.12
2.25 d5 0.12
2.50 a4 0.12
2.88 g#4 0.12
3.12 g4 0.12
3.38 f4 0.24
3.62 d4 0.12
3.75 f4 0.12
3.88 g4 0.12
4.00 b3 0.12
4.12 b3 0.12
4.25 d5 0.12
4.50 a4 0.12
4.88 g#4 0.12
5.12 g4 0.12
5.38 f4 0.24
5.62 d4 0.12
5.75 f4 0.12
5.88 g4 0.12
6.00 a#3 0.12
6.12 a#3 0.12
6.25 d5 0.12
6.50 a4 0.12
6.88 g#4 0.12
7.12 g4 0.12
7.38 f4 0.24
7.62 d4 0.12
7.75 f4 0.12
7.88 g4 0.12
8.00 d4 0.12
8.12 d4 0.12
8.25 d5 0.12
8.50 a4 0.12
8.88 g#4 0.12
9.12 g4 0.12
9.38 f4 0.24
9.62 d4 0.12
9.75 f4 0.12
9.88 g4 0.12
10.00 c4 0.12
10.12 c4 0.12
10.25 d5 0.12
10.50 a4 0.12
10.88 g#4 0.12
11.12 g4 0.12
11.38 f4 0.24
11.62 d4 0.12
11.75 f4 0.12
11.88 g4 0.12
12.00 b3 0.12
12.12 b3 0.12
12.25 d5 0.12
12.50 a4 0.12
12.88 g#4 0.12
13.12 g4 0.12
13.38 f4 0.24
13.62 d4 0.12
13.75 f4 0.12
13.88 g4 0.12
14.00 a#3 0.12
14.12 a#3 0.12
14.25 d5 0.12
14.50 a4 0.12
14.88 g#4 0.12
15.12 g4 0.12
15.38 f4 0.24
15.62 d4 0.12
15.75 f4 0.12
15.88 g4 0.12
16.00 d4 0.12
16.00 d5 0.12
16.12 d4 0.12
16.12 d5 0.12
16.25 d5 0.12
16.25 d6 0.12
16.50 a4 0.12
16.50 a5 0.12
16.88 g#4 0.12
16.88 g#5 0.12
17.12 g4 0.12
17.12 g5 0.12
17.38 f4 0.24
17.38 f5 0.24
17.62 d4 0.12
17.62 d5 0.12
17.75 f4 0.12
17.75 f5 0.12
17.88 g4 0.12
17.88 g5 0.12
18.00 c4 0.12
18.00 c5 0.12
18.12 c4 0.12
18.12 c5 0.12
18.25 d5 0.12
18.25 d6 0.12
18.50 a4 0.12
18.50 a5 0.12
18.88 g#4 0.12
18.88 g#5 0.12
19.12 g4 0.12
19.12 g5 0.12
19.38 f4 0.24
19.38 f5 0.24
19.62 d4 0.12
19.62 d5 0.12
19.75 f4 0.12
19.75 f5 0.12
19.88 g4 0.12
19.88 g5 0.12
20.00 b3 0.12
20.00 b4 0.12
20.12 b3 0.12
20.12 b4 0.12
20.25 d5 0.12
20.25 d6 0.12
20.50 a4 0.12
20.50 a5 0.12
20.88 g#4 0.12
20.88 g#5 0.12
21.12 g4 0.12
21.12 g5 0.12
21.38 f4 0.24
