# Start of Music
bpm 60

num_parts 2

# Instrument: Right Hand

part
num_notes 1682
1.15 c3 0.07
1.24 c#3 0.07
1.32 c#3 0.05
1.48 a3 0.05
1.65 g3 0.07
1.73 a3 0.05
1.90 e3 0.05
2.06 f3 0.05
2.23 a3 0.07
2.31 g3 0.07
2.39 f3 0.07
2.47 e3 0.07
2.55 d3 0.12
2.72 a3 0.05
2.88 g3 0.07
2.97 a3 0.05
3.13 e3 0.05
3.30 f3 0.05
3.46 a3 0.03
3.54 c3 0.05
3.71 c#3 0.05
3.87 d3 0.05
4.04 a3 0.05
4.20 g3 0.07
4.29 a3 0.05
4.45 e3 0.05
4.62 f3 0.05
4.78 a3 0.07
4.86 g3 0.07
4.95 f3 0.07
5.03 e3 0.07
5.11 d3 0.12
5.27 a3 0.05
5.44 g3 0.07
5.52 a3 0.05
5.69 e3 0.05
5.85 f3 0.05
6.02 a3 0.03
6.10 c3 0.05
6.26 c#3 0.05
6.43 d3 0.05
6.59 a3 0.05
6.76 g3 0.07
6.84 a3 0.05
7.01 e3 0.05
7.17 f3 0.05
7.34 a3 0.07
7.42 g3 0.07
7.50 f3 0.07
7.58 e3 0.07
7.66 d3 0.12
7.91 a3 0.05
8.08 g3 0.07
8.16 a3 0.05
8.32 e3 0.05
8.49 f3 0.05
8.65 a3 0.03
8.74 c3 0.05
8.90 c#3 0.05
9.07 d3 0.05
9.23 a3 0.05
9.40 g3 0.07
9.48 a3 0.05
9.64 e3 0.05
9.81 f3 0.05
9.97 a3 0.07
10.05 g3 0.07
10.14 f3 0.07
10.22 e3 0.07
10.30 d3 0.15
10.55 a3 0.05
10.71 g3 0.07
10.80 a3 0.05
10.96 c4 0.05
11.13 c4 0.07
11.21 a3 0.14
11.37 c4 0.14
11.37 e4 0.14
11.54 c4 0.07
11.62 c#4 0.07
11.70 a3 0.05
11.70 d4 0.05
11.87 f4 0.05
11.87 a4 0.05
12.03 g4 0.07
12.12 a4 0.05
12.28 c4 0.05
12.28 e4 0.05
12.45 d4 0.05
12.45 f4 0.05
12.61 a4 0.07
12.69 g4 0.07
12.77 f4 0.07
12.86 e4 0.07
12.94 d4 0.12
13.19 f4 0.05
13.19 a4 0.05
13.35 g4 0.07
13.43 a4 0.05
13.60 c4 0.14
13.60 e4 0.14
13.76 d4 0.07
13.76 f4 0.07
13.85 a4 0.05
14.01 a3 0.05
14.01 c4 0.05
14.18 a3 0.05
14.18 c#4 0.05
14.34 a3 0.05
14.34 d4 0.05
14.51 f4 0.05
14.51 a4 0.05
14.67 g4 0.07
14.75 a4 0.05
14.92 c4 0.05
14.92 e4 0.05
15.08 d4 0.05
15.08 f4 0.05
15.25 a4 0.07
15.33 g4 0.07
15.41 f4 0.07
15.49 e4 0.07
15.58 d4 0.12
15.82 f4 0.05
15.82 a4 0.05
15.99 g4 0.07
16.07 a4 0.05
16.24 c4 0.14
16.24 e4 0.14
16.40 d4 0.07
16.40 f4 0.07
16.48 a4 0.05
16.65 a3 0.05
16.65 c4 0.05
16.81 a3 0.05
16.81 c#4 0.05
16.98 a3 0.05
16.98 d4 0.05
17.14 f4 0.05
17.14 a4 0.05
17.31 g4 0.07
17.39 a4 0.05
17.55 c4 0.05
17.55 e4 0.05
17.72 d4 0.05
17.72 f4 0.05
17.88 a4 0.07
17.97 g4 0.07
18.05 f4 0.07
18.13 e4 0.07
18.21 d4 0.12
18.46 f4 0.05
18.46 a4 0.05
18.63 g4 0.07
18.71 a4 0.05
18.87 c4 0.14
18.87 e4 0.14
19.04 d4 0.07
19.04 f4 0.07
19.12 a4 0.05
19.29 a3 0.05
19.29 c4 0.05
19.45 a3 0.05
19.45 c#4 0.05
19.62 a3 0.05
19.62 d4 0.05
19.78 f4 0.05
19.78 a4 0.05
19.95 g4 0.07
20.03 a4 0.05
20.19 c4 0.05
20.19 e4 0.05
20.36 d4 0.05
20.36 f4 0.05
20.52 a4 0.07
20.60 g4 0.07
20.69 f4 0.07
20.77 e4 0.07
20.85 d4 0.12
20.98 a3 0.03
21.02 b3 0.03
21.06 c4 0.03
21.10 d4 0.03
21.14 e4 0.03
21.18 f4 0.03
21.22 g4 0.03
21.26 a4 0.03
21.30 b4 0.03
21.35 c5 0.03
21.39 d5 0.03
21.43 e5 0.03
21.47 f5 0.03
21.51 g5 0.03
21.55 a5 0.03
21.59 b5 0.03
21.63 c6 0.03
21.68 d6 0.03
21.72 e6 0.03
21.76 f6 0.03
21.80 g6 0.03
21.84 a6 0.03
21.88 b6 0.03
21.92 c7 0.03
21.96 d7 0.03
22.25 f4 0.14
22.25 a4 0.14
22.42 d5 0.14
22.42 f5 0.14
22.58 e5 0.07
22.66 f5 0.07
22.75 e5 0.14
22.91 c5 0.14
22.91 g5 0.14
23.08 f5 0.14
23.24 e5 0.07
23.32 f5 0.07
23.41 e5 0.07
23.49 c5 0.07
23.57 d5 0.14
23.74 f5 0.14
23.74 a5 0.14
23.90 g5 0.07
23.98 a5 0.07
24.07 g5 0.07
24.15 a5 0.07
24.23 f5 0.14
24.23 c6 0.14
24.40 a5 0.14
24.56 g5 0.14
24.73 a5 0.14
24.89 f4 0.14
24.89 a4 0.14
25.05 d5 0.14
25.05 f5 0.14
25.22 e5 0.07
25.30 f5 0.07
25.38 e5 0.14
25.55 c5 0.14
25.55 g5 0.14
25.71 f5 0.14
25.88 e5 0.07
25.96 f5 0.07
26.04 e5 0.07
26.13 c5 0.07
26.21 d5 0.14
26.37 f5 0.14
26.37 a5 0.14
26.54 g5 0.07
26.62 a5 0.07
26.70 g5 0.07
26.79 a5 0.07
26.87 f5 0.14
26.87 c#6 0.14
27.03 a5 0.14
27.20 g5 0.14
27.36 a5 0.14
