# Start of Music
bpm 60

num_parts 13

part
num_notes 1319
1.05 g5 0.28
1.29 f#5 0.25
1.55 e5 0.20
1.79 e5 0.28
2.30 d4 0.27
2.05 a3 0.52
2.55 f#4 0.25
2.79 d4 0.25
3.29 d4 0.25
3.04 b3 0.55
3.79 d4 0.24
3.54 f#4 0.52
4.30 d4 0.24
4.04 a3 0.70
2.04 f#5 2.74
4.56 f#4 0.47
4.79 d4 0.25
4.81 a4 0.26
5.06 g5 0.28
5.31 f#5 0.22
5.31 d4 0.23
5.06 b3 0.55
5.56 e5 0.18
5.80 d4 0.26
5.80 e5 0.26
5.55 f#4 0.52
6.29 f#5 0.18
6.29 d4 0.26
6.05 a3 0.68
6.54 f#4 0.33
6.80 d4 0.23
7.05 b3 0.32
7.31 d4 0.24
7.05 d5 0.51
7.56 e5 0.21
7.80 d4 0.25
7.56 f#4 0.51
8.31 d4 0.23
8.06 a3 0.57
8.55 f#4 0.43
8.80 d4 0.25
7.80 a4 1.55
9.05 b3 0.31
9.31 d4 0.21
9.55 f#4 0.44
9.80 d4 0.20
9.80 a4 0.26
10.06 e5 0.46
10.31 e4 0.22
10.05 b3 0.50
10.54 f#5 0.23
10.80 e4 0.24
10.54 g4 0.55
11.31 e4 0.21
10.80 g5 0.76
11.06 b3 0.68
11.55 e5 0.25
11.80 e4 0.25
11.55 g4 0.51
11.80 c#5 0.51
12.31 e4 0.23
12.06 a3 0.56
12.80 e4 0.24
12.30 d5 0.75
12.55 g4 0.57
13.05 e5 0.47
13.30 e4 0.23
13.05 a3 0.68
13.55 a4 0.19
13.80 e4 0.20
13.55 g4 0.46
13.80 a4 0.51
14.30 d4 0.24
14.06 a3 0.51
14.55 f#4 0.44
14.80 d4 0.21
15.31 d4 0.24
15.05 b3 0.55
15.81 d4 0.23
15.55 f#4 0.49
14.29 f#5 2.00
16.30 d4 0.24
16.05 a3 0.58
16.55 f#4 0.30
16.79 d4 0.24
17.04 g5 0.27
17.05 b3 0.45
17.29 f#5 0.20
17.30 d4 0.22
17.54 e5 0.20
17.79 e5 0.25
17.78 d4 0.26
17.54 f#4 0.50
18.29 d4 0.25
18.04 a3 0.69
18.56 f#4 0.42
18.80 d4 0.25
19.30 d4 0.26
19.06 b3 0.54
19.56 f#4 0.43
19.80 d4 0.24
20.30 d4 0.24
20.05 a3 0.57
18.03 f#5 2.75
20.56 f#4 0.46
20.79 d4 0.25
20.80 a4 0.25
21.06 g5 0.23
21.30 f#5 0.23
21.30 d4 0.24
21.05 b3 0.54
21.56 e5 0.18
21.79 d4 0.26
21.55 f#4 0.52
22.30 d4 0.24
21.80 e5 0.77
22.06 a3 0.68
22.55 f#5 0.26
22.55 f#4 0.44
22.81 d4 0.25
23.30 d4 0.24
22.80 d5 0.75
23.06 b3 0.56
23.56 e5 0.22
23.81 d4 0.24
23.55 f#4 0.52
24.30 d4 0.24
24.06 a3 0.55
24.55 f#4 0.49
24.80 d4 0.24
23.80 a4 1.51
25.05 b3 0.30
25.30 d4 0.23
25.55 f#4 0.32
25.81 d4 0.19
26.30 e4 0.22
26.05 e5 0.50
26.05 b3 0.51
26.56 f#5 0.24
26.80 e4 0.26
26.56 g4 0.54
26.81 g5 0.67
27.31 e4 0.21
27.06 b3 0.71
27.54 e5 0.24
27.81 e4 0.23
27.56 g4 0.51
27.80 c#5 0.71
28.31 e4 0.24
28.05 a3 0.69
28.54 d5 0.25
28.81 e4 0.24
28.56 g4 0.51
28.80 e5 0.47
29.30 a4 0.23
29.30 e4 0.24
29.06 a3 0.53
29.55 d5 0.22
29.56 g4 0.30
29.79 e4 0.24
29.80 e5 0.24
30.05 f5 0.25
30.30 e5 0.25
30.54 d5 0.25
30.81 c5 0.41
30.80 a#4 0.42
30.30 d4 0.93
30.54 f4 0.68
30.04 a#3 1.19
31.54 a4 0.25
31.79 a#4 0.28
32.05 f3 0.49
32.04 c5 0.49
32.30 c4 0.31
32.55 a4 0.23
32.54 f5 0.27
32.79 f4 0.22
33.04 e5 0.24
33.05 g4 0.27
33.30 d5 0.21
33.54 d5 0.25
33.55 g4 0.27
33.04 c4 0.78
33.80 c5 0.24
34.05 d5 0.24
34.05 f4 0.26
34.06 a#4 0.26
34.30 c5 0.20
34.05 a#3 0.53
34.57 c5 0.20
34.56 f4 0.21
34.56 a#4 0.22
34.81 a#3 0.19
35.06 a4 0.24
35.07 f4 0.28
35.06 c5 0.46
35.06 f3 0.50
35.56 f4 0.20
35.55 a4 0.31
35.56 c4 0.41
35.80 a#4 0.19
36.06 f4 0.22
36.06 a4 0.23
36.06 c5 0.23
36.05 f3 0.51
36.56 f4 0.18
36.56 a4 0.17
36.56 c5 0.19
36.56 f5 0.20
36.81 c4 0.17
37.06 e5 0.22
37.05 g5 0.25
37.05 c5 0.30
37.05 g4 0.30
37.31 f5 0.19
37.05 c4 0.68
37.55 c5 0.21
37.55 e5 0.24
37.80 g4 0.17
37.80 d5 0.19
38.05 f4 0.26
38.04 a#4 0.28
38.05 d5 0.28
38.05 a#3 0.44
38.29 e5 0.21
38.55 f4 0.18
38.55 a#4 0.19
38.56 f5 0.19
38.79 a#3 0.21
39.05 c5 0.20
39.05 f5 0.23
