# Outputted with MidiToZac v0.2
# Start of Music
bpm 60

num_parts 1

# Instrument: Elec. Piano (Classic)

part
num_notes 905
0.00 a4 0.30 0.39
0.30 b4 0.30 0.39
0.60 c5 0.30 0.39
0.00 e4 1.20 0.39
0.90 a4 0.30 0.39
1.20 b4 0.30 0.39
1.20 f4 0.45 0.39
1.50 c5 0.30 0.39
1.80 e5 0.30 0.39
2.10 d5 0.30 0.39
1.80 c4 1.80 0.39
2.40 g4 1.20 0.39
3.60 d5 0.30 0.39
3.90 c5 0.30 0.39
3.60 e4 1.80 0.39
4.20 b4 1.35 0.39
5.40 c5 0.30 0.39
5.40 f4 0.60 0.39
5.70 b4 0.30 0.39
6.00 d4 0.60 0.39
6.00 a4 0.60 0.39
6.60 g4 0.60 0.39
6.60 b3 0.60 0.39
7.20 a4 0.30 0.39
7.50 b4 0.30 0.39
7.80 c5 0.30 0.39
7.20 e4 1.05 0.39
8.10 a4 0.30 0.39
8.40 b4 0.30 0.39
8.40 f4 0.45 0.39
8.70 c5 0.30 0.39
9.00 e5 0.30 0.39
9.30 d5 0.30 0.39
9.00 c4 1.65 0.39
9.60 g4 1.20 0.39
10.80 d5 0.30 0.39
11.10 c5 0.30 0.39
10.80 b3 1.20 0.39
11.40 b4 0.60 0.39
12.00 g4 0.60 0.39
12.00 g3 0.60 0.39
12.60 a4 1.20 0.39
12.60 e4 1.35 0.39
12.60 a3 1.35 0.39
14.40 a4 0.30 0.39
14.70 b4 0.30 0.39
15.00 c5 0.30 0.39
14.40 e4 1.20 0.39
15.30 a4 0.30 0.39
15.60 b4 0.30 0.39
15.60 f4 0.45 0.39
15.90 c5 0.30 0.39
16.20 e5 0.30 0.39
16.50 d5 0.30 0.39
16.20 c4 1.80 0.39
16.80 g4 1.20 0.39
18.00 d5 0.30 0.39
18.30 c5 0.30 0.39
18.00 e4 1.80 0.39
18.60 b4 1.35 0.39
19.80 c5 0.30 0.39
19.80 f4 0.60 0.39
20.10 b4 0.30 0.39
20.40 d4 0.60 0.39
20.40 a4 0.60 0.39
21.00 g4 0.60 0.39
21.00 b3 0.60 0.39
21.60 a4 0.30 0.39
21.90 b4 0.30 0.39
22.20 c5 0.30 0.39
21.60 e4 1.05 0.39
22.50 a4 0.30 0.39
22.80 b4 0.30 0.39
22.80 f4 0.45 0.39
23.10 c5 0.30 0.39
23.40 e5 0.30 0.39
23.70 d5 0.30 0.39
23.40 c4 1.65 0.39
24.00 g4 1.20 0.39
25.20 d5 0.30 0.39
25.50 c5 0.30 0.39
25.20 b3 1.20 0.39
25.80 b4 0.60 0.39
26.40 g4 0.60 0.39
26.40 g3 0.60 0.39
27.00 a4 1.20 0.39
27.00 a3 1.35 0.39
27.00 e4 1.35 0.39
28.80 e5 0.15 0.39
28.80 a5 0.15 0.39
29.10 a5 0.15 0.39
29.10 e5 0.15 0.39
29.40 e5 0.15 0.39
29.70 c#5 0.15 0.39
29.70 e5 0.15 0.39
30.00 a4 0.15 0.39
30.00 c#5 0.15 0.39
30.30 c#5 0.15 0.39
30.30 a4 0.15 0.39
30.60 e5 0.15 0.39
30.60 a5 0.15 0.39
30.90 a5 0.15 0.39
30.90 e5 0.15 0.39
31.20 c#5 0.15 0.39
31.20 e5 0.15 0.39
31.50 e5 0.15 0.39
31.50 c#5 0.15 0.39
31.80 c#5 0.15 0.39
31.80 a4 0.15 0.39
32.10 c#5 0.15 0.39
32.10 a4 0.15 0.39
32.40 b4 0.15 0.39
32.40 e5 0.15 0.39
32.70 b4 0.15 0.39
32.70 e5 0.15 0.39
33.00 g4 0.15 0.39
33.00 b4 0.15 0.39
33.30 g4 0.15 0.39
33.30 b4 0.15 0.39
33.60 g4 0.15 0.39
33.60 e4 0.15 0.39
33.90 g4 0.15 0.39
33.90 e4 0.15 0.39
34.20 b4 0.15 0.39
34.20 e5 0.15 0.39
34.50 b4 0.15 0.39
34.50 e5 0.15 0.39
34.80 b4 0.15 0.39
34.80 g4 0.15 0.39
35.10 g4 0.15 0.39
35.10 b4 0.15 0.39
35.40 g4 0.15 0.39
35.40 e4 0.15 0.39
35.70 g4 0.15 0.39
35.70 e4 0.15 0.39
36.00 e5 0.15 0.39
36.30 e5 0.15 0.39
36.30 a5 0.15 0.39
