# Start of Music
bpm 60

num_parts 2

# Instrument: Acoustic Grand Piano

part
num_notes 157
0.00 a#4 0.25
0.25 a4 0.25
0.50 g4 0.38
0.88 f4 0.12
1.00 a4 0.25
1.25 g4 0.25
1.50 f4 0.25
1.75 d#4 0.25
2.00 g4 0.25
2.25 f4 0.25
2.50 d#4 0.12
2.62 d4 0.38
3.00 f4 0.75
3.75 d4 0.12
3.88 c4 0.12
4.00 a#3 0.25
4.25 c4 0.25
4.50 d4 0.25
4.75 d#4 0.25
5.00 c4 0.25
5.25 d4 0.12
5.38 d#4 0.38
5.75 f4 0.25
6.00 f4 0.25
6.25 g4 0.25
6.50 a4 0.12
6.62 g4 0.38
7.00 f4 0.25
7.25 f4 0.25
7.50 g4 0.25
7.75 a4 0.25
8.00 a#4 0.25
8.25 a4 0.25
8.50 g4 0.38
8.88 f4 0.12
9.00 a4 0.25
9.25 g4 0.25
9.50 f4 0.12
9.62 d#4 0.38
10.00 g4 0.25
10.25 f4 0.25
10.50 d#4 0.12
10.62 d4 0.38
11.00 f4 0.75
11.75 d4 0.12
11.88 c4 0.12
12.00 a#3 0.25
12.25 c4 0.25
12.50 d4 0.25
12.75 d#4 0.25
13.00 c4 0.25
13.25 d4 0.12
13.38 d#4 0.38
13.75 f4 0.25
14.00 f4 0.25
14.25 g4 0.25
14.50 a4 0.12
14.62 f4 0.38
15.00 a#4 0.25
15.25 f4 0.25
15.50 g4 0.25
15.75 g#4 0.25
16.25 f5 0.25
16.50 g5 0.25
16.75 g#5 0.25
16.00 a4 1.25
17.25 f4 0.25
17.50 g4 0.25
17.75 a4 0.25
17.00 a5 1.00
18.25 f5 0.25
18.50 g5 0.25
18.75 a5 0.25
18.00 a#4 1.25
19.25 f4 0.25
19.50 g4 0.25
19.75 a4 0.25
19.00 a#5 1.00
20.25 f5 0.25
20.50 g5 0.25
20.75 a5 0.25
20.00 c5 1.25
21.25 f4 0.25
21.50 g4 0.25
21.75 a4 0.25
21.00 c6 1.00
22.25 f5 0.25
22.50 g5 0.25
22.75 a5 0.25
22.00 d5 1.25
23.25 a#4 0.25
23.50 c5 0.25
23.75 d5 0.25
23.00 d6 1.00
24.00 d#5 0.25
24.25 d#5 0.50
24.75 d#5 0.50
25.25 d5 0.25
25.50 c5 0.50
26.00 d5 1.50
27.50 d5 0.50
28.00 c5 0.75
28.75 g4 0.50
29.25 g4 0.25
29.50 d5 0.50
30.00 c5 1.25
31.25 f4 0.25
31.50 g4 0.25
31.75 g#4 0.25
32.25 f5 0.25
32.50 g5 0.25
32.75 g#5 0.25
32.00 a4 1.25
33.25 f4 0.25
33.50 g4 0.25
33.75 a4 0.25
33.00 a5 1.00
34.25 f5 0.25
34.50 g5 0.25
34.75 a5 0.25
34.00 a#4 1.25
35.25 f4 0.25
35.50 g4 0.25
35.75 a4 0.25
35.00 a#5 1.00
36.25 f5 0.25
36.50 g5 0.25
36.75 a5 0.25
36.00 c5 1.25
37.25 f4 0.25
37.50 g4 0.25
37.75 a4 0.25
37.00 c6 1.00
38.25 f5 0.25
38.50 g5 0.25
38.75 a5 0.25
38.00 d5 1.25
39.25 a#4 0.25
39.50 c5 0.25
39.75 d5 0.25
39.00 d6 1.00
40.00 d#5 0.25
40.25 d#5 0.50
40.75 d#5 0.50
41.25 d5 0.25
41.50 c5 0.50
42.00 d5 1.50
43.50 d5 0.50
44.00 c5 0.75
44.75 f4 0.50
45.25 d5 0.25
45.50 f4 0.25
45.75 d5 0.25
46.00 a#4 1.25
47.25 f4 0.25
47.50 g4 0.25
47.75 a4 0.25
end

# Instrument: Acoustic Grand Piano

part
num_notes 188
0.00 a#1 0.25
0.25 a#2 0.25
0.50 a#1 0.25
0.75 a#2 0.25
1.00 a#1 0.25
1.25 a#2 0.25
1.50 a#1 0.25
1.75 a#2 0.25
2.00 a#1 0.25
2.25 a#2 0.25
2.50 a#1 0.25
2.75 a#2 0.25
3.00 a#1 0.25
3.25 a#2 0.25
3.50 a#1 0.25
3.75 a#2 0.25
4.00 g1 0.25
4.25 g2 0.25
4.50 g1 0.25
4.75 g2 0.25
5.00 g1 0.25
5.25 g2 0.25
5.50 g1 0.25
5.75 g2 0.25
6.00 g1 0.25
6.25 g2 0.25
6.50 g1 0.25
6.75 g2 0.25
7.00 g1 0.25
7.25 g2 0.25
7.50 g1 0.25
7.75 g2 0.25
8.00 a#1 0.25
8.25 a#2 0.25
8.50 a#1 0.25
8.75 a#2 0.25
9.00 a#1 0.25
9.25 a#2 0.25
9.50 a#1 0.25
9.75 a#2 0.25
10.00 a#1 0.25
10.25 a#2 0.25
10.50 a#1 0.25
10.75 a#2 0.25
11.00 a#1 0.25
11.25 a#2 0.25
11.50 a#1 0.25
11.75 a#2 0.25
12.00 g1 0.25
12.25 g2 0.25
12.50 g1 0.25
12.75 g2 0.25
13.00 g1 0.25
13.25 g2 0.25
13.50 g1 0.25
13.75 g2 0.25
14.00 g1 0.25
14.25 g2 0.25
14.50 g1 0.25
14.75 g2 0.25
15.00 a#1 0.25
15.25 f1 0.25
15.50 g1 0.25
15.75 g#1 0.25
16.00 a1 0.25
16.25 a2 0.25
16.50 a1 0.25
16.75 a2 0.25
17.00 a1 0.25
17.25 f1 0.25
17.50 g1 0.25
17.75 a1 0.25
18.00 a#1 0.25
18.25 a#2 0.25
18.50 a#1 0.25
18.75 a#2 0.25
19.00 a#1 0.25
19.25 f1 0.25
19.50 g1 0.25
19.75 g#1 0.25
20.00 a1 0.25
20.25 a2 0.25
20.50 a1 0.25
20.75 a2 0.25
21.00 a1 0.25
21.25 f1 0.25
21.50 g1 0.25
21.75 a1 0.25
22.00 a#1 0.25
22.25 a#2 0.25
22.50 a#1 0.25
22.75 a#2 0.25
23.00 a#1 0.25
23.25 a#1 0.25
23.50 c2 0.25
23.75 d2 0.25
24.00 d#2 0.25
24.25 d#3 0.25
24.50 d#2 0.25
24.75 d#3 0.25
25.00 d#2 0.25
25.25 d#3 0.25
25.50 d#2 0.25
25.75 d#3 0.25
26.00 d2 0.25
26.25 d3 0.25
26.50 d2 0.25
26.75 d3 0.25
27.00 d2 0.25
27.25 d3 0.25
27.50 d2 0.25
27.75 d3 0.25
28.00 c2 0.25
28.25 c3 0.25
28.50 c2 0.25
28.75 c3 0.25
29.00 g1 0.25
29.25 g2 0.25
29.50 g1 0.25
29.75 g2 0.25
30.00 c2 0.25
30.25 c3 0.25
30.50 c2 0.25
30.75 c3 0.25
31.00 c2 0.25
31.25 f1 0.25
31.50 g1 0.25
31.75 g#1 0.25
32.00 a1 0.25
32.25 a2 0.25
32.50 a1 0.25
32.75 a2 0.25
33.00 a1 0.25
33.25 f1 0.25
33.50 g1 0.25
33.75 a1 0.25
34.00 a#1 0.25
34.25 a#2 0.25
34.50 a#1 0.25
34.75 a#2 0.25
35.00 a#1 0.25
35.25 f1 0.25
35.50 g1 0.25
35.75 g#1 0.25
36.00 a1 0.25
36.25 a2 0.25
36.50 a1 0.25
36.75 a2 0.25
37.00 a1 0.25
37.25 f1 0.25
37.50 g1 0.25
37.75 a1 0.25
38.00 a#1 0.25
38.25 a#2 0.25
38.50 a#1 0.25
38.75 a#2 0.25
39.00 a#1 0.25
39.25 a#1 0.25
39.50 c2 0.25
39.75 d2 0.25
40.00 d#2 0.25
40.25 d#3 0.25
40.50 d#2 0.25
40.75 d#3 0.25
41.00 d#2 0.25
41.25 d#3 0.25
41.50 d#2 0.25
41.75 d#3 0.25
42.00 d2 0.25
42.25 d3 0.25
42.50 d2 0.25
42.75 d3 0.25
43.00 d2 0.25
43.25 d3 0.25
43.50 d2 0.25
43.75 d3 0.25
44.00 c2 0.25
44.25 c3 0.25
44.50 c2 0.25
44.75 c3 0.25
45.00 f1 0.25
45.25 c2 0.25
45.50 f1 0.25
45.75 c2 0.25
46.00 a#1 1.25
47.25 f1 0.25
47.50 g1 0.25
47.75 a1 0.25
end
