# Outputted with MidiToZac v0.2
# Start of Music
bpm 60

num_parts 2

# Instrument: Acoustic Grand Piano

part
num_notes 269
0.00 a5 0.09 0.45
0.09 f5 0.09 0.41
0.19 a5 0.09 0.41
0.28 f5 0.09 0.41
0.38 b5 0.09 0.42
0.47 g5 0.09 0.41
0.56 b5 0.09 0.41
0.66 g5 0.09 0.41
0.75 c6 0.09 0.43
0.84 a5 0.09 0.41
0.94 c6 0.09 0.41
1.03 a5 0.09 0.41
1.13 d6 0.10 0.42
1.22 b5 0.10 0.41
1.32 d6 0.10 0.41
1.41 b5 0.10 0.41
1.51 c6 0.19 0.54
1.70 b5 0.19 0.50
1.89 a5 0.19 0.51
2.08 g5 0.19 0.50
2.26 c6 0.19 0.53
2.45 b5 0.19 0.50
2.64 a5 0.19 0.51
2.83 g5 0.19 0.50
3.01 c6 0.19 0.54
3.20 b5 0.19 0.50
3.39 a5 0.19 0.51
3.58 g5 0.19 0.50
3.76 c6 0.19 0.53
3.95 b5 0.19 0.50
4.14 a5 0.19 0.51
4.33 g5 0.19 0.50
4.51 c6 0.19 0.54
4.70 b5 0.19 0.50
4.89 a5 0.19 0.51
5.08 g5 0.19 0.50
5.26 c6 0.19 0.53
5.45 b5 0.19 0.50
5.64 a5 0.19 0.51
5.83 g5 0.19 0.50
6.01 c6 0.19 0.54
6.20 b5 0.19 0.50
6.39 a5 0.19 0.51
6.58 g5 0.19 0.50
6.76 c6 0.19 0.53
6.95 b5 0.19 0.50
7.14 a5 0.19 0.51
7.33 g5 0.19 0.50
7.53 c6 0.19 0.54
7.72 b5 0.19 0.50
7.90 a5 0.19 0.51
8.09 g5 0.19 0.50
8.28 c6 0.19 0.53
8.47 b5 0.19 0.50
8.65 a5 0.19 0.51
8.84 g5 0.19 0.50
9.03 c6 0.19 0.54
9.22 b5 0.19 0.50
9.40 a5 0.19 0.51
9.59 g5 0.19 0.50
9.78 c6 0.19 0.53
9.97 b5 0.19 0.50
10.15 a5 0.19 0.51
10.34 g5 0.19 0.50
10.53 c6 0.19 0.54
10.72 b5 0.19 0.50
10.90 a5 0.19 0.51
11.09 g5 0.19 0.50
11.28 c6 0.19 0.53
11.47 b5 0.19 0.50
11.65 a5 0.19 0.51
11.84 g5 0.19 0.50
12.03 c6 0.19 0.54
12.22 b5 0.19 0.50
12.40 a5 0.19 0.51
12.59 g5 0.19 0.50
12.78 c6 0.19 0.53
12.97 b5 0.19 0.50
13.15 a5 0.19 0.51
13.34 g5 0.19 0.50
14.09 c6 0.19 0.41
14.28 c6 0.19 0.43
13.90 e5 0.56 0.53
13.90 c5 0.56 0.45
14.47 a5 0.38 0.50
14.84 c6 0.19 0.50
14.47 e5 0.56 0.55
14.47 c5 0.56 0.44
15.03 b5 0.38 0.54
15.40 c6 0.19 0.51
15.03 d5 0.56 0.59
15.59 b5 0.38 0.50
15.97 g5 0.09 0.50
16.06 a5 0.09 0.50
16.15 c6 0.19 0.51
15.59 d5 0.75 0.55
15.59 b4 0.75 0.44
16.34 a5 0.19 0.50
17.09 a5 0.19 0.41
17.28 e6 0.19 0.43
16.90 e5 0.56 0.56
16.90 c5 0.56 0.45
17.47 d6 0.38 0.50
17.84 c6 0.19 0.50
17.47 e5 0.56 0.55
17.47 c5 0.56 0.44
18.03 b5 0.38 0.54
18.40 c6 0.19 0.51
18.03 d5 0.56 0.59
18.03 b4 0.56 0.48
18.59 b5 0.38 0.50
18.97 g5 0.09 0.50
19.06 a5 0.09 0.50
19.15 c6 0.19 0.51
18.59 d5 0.75 0.55
18.59 b4 0.75 0.44
19.34 e6 0.19 0.50
20.09 c6 0.19 0.41
20.28 c6 0.19 0.43
19.90 e5 0.56 0.56
19.90 c5 0.56 0.45
20.47 a5 0.38 0.50
20.84 c6 0.19 0.50
20.47 e5 0.56 0.55
20.47 c5 0.56 0.44
21.03 b5 0.38 0.54
21.40 c6 0.19 0.51
21.03 d5 0.56 0.59
21.03 b4 0.56 0.48
21.59 b5 0.38 0.50
21.97 g5 0.09 0.50
22.06 a5 0.09 0.50
22.15 c6 0.19 0.51
21.59 d5 0.75 0.55
21.59 b4 0.75 0.44
22.34 a5 0.19 0.50
23.09 a5 0.19 0.41
23.28 a5 0.19 0.43
22.90 c5 0.56 0.56
22.90 a4 0.56 0.45
23.47 f5 0.38 0.50
23.84 a5 0.19 0.50
23.47 c5 0.56 0.55
23.47 a4 0.56 0.44
24.03 g5 0.38 0.54
24.40 a5 0.19 0.51
24.03 b4 0.56 0.59
24.03 g4 0.56 0.48
24.59 g5 0.38 0.50
24.59 b4 0.75 0.55
24.59 g4 0.75 0.44
24.97 c5 0.56 0.50
26.09 c6 0.19 0.41
26.28 c6 0.19 0.43
25.90 e5 0.56 0.56
25.90 c5 0.56 0.45
26.47 a5 0.38 0.50
26.84 c6 0.19 0.50
26.47 e5 0.56 0.55
26.47 c5 0.56 0.44
27.03 b5 0.38 0.54
27.40 c6 0.19 0.51
27.03 d5 0.56 0.59
27.03 b4 0.56 0.48
27.59 b5 0.38 0.50
