# Outputted with MidiToZac v0.2
# Start of Music
bpm 60

num_parts 2

# Instrument: Acoustic Grand Piano

part
num_notes 116
0.00 e5 0.50 0.59
0.00 b4 0.50 0.48
0.50 b4 0.25 0.56
0.50 g#4 0.25 0.45
0.75 c5 0.25 0.55
0.75 a4 0.25 0.44
1.00 d5 0.25 0.57
1.00 b4 0.25 0.46
1.25 e5 0.13 0.50
1.38 d5 0.13 0.50
1.50 c5 0.25 0.56
1.50 a4 0.25 0.45
1.76 b4 0.26 0.55
1.76 g#4 0.26 0.44
2.02 a4 0.50 0.59
2.02 e4 0.50 0.48
2.52 a4 0.25 0.56
2.52 e4 0.25 0.45
2.77 c5 0.25 0.55
2.77 a4 0.25 0.44
3.02 e5 0.50 0.57
3.02 c5 0.50 0.46
3.52 d5 0.25 0.56
3.52 b4 0.25 0.45
3.77 c5 0.25 0.55
3.77 a4 0.25 0.44
4.02 g#4 0.25 0.54
4.27 e4 0.25 0.50
4.52 g#4 0.25 0.51
4.02 b4 0.75 0.54
4.77 a4 0.25 0.50
4.77 c5 0.25 0.50
5.02 d5 0.50 0.57
5.02 b4 0.50 0.46
5.52 e5 0.51 0.56
5.52 c5 0.51 0.45
6.03 c5 0.50 0.59
6.03 a4 0.50 0.48
6.54 a4 0.50 0.56
6.54 e4 0.50 0.45
7.04 a4 1.00 0.57
7.04 e4 1.00 0.46
8.29 d5 0.50 0.55
8.29 f4 0.50 0.44
8.79 f5 0.25 0.55
8.79 a4 0.25 0.44
9.04 c5 0.25 0.53
9.29 c5 0.12 0.41
9.41 c5 0.12 0.41
9.04 a5 0.50 0.53
9.54 g5 0.25 0.56
9.54 b4 0.25 0.45
9.79 f5 0.25 0.55
9.79 a4 0.25 0.44
10.04 e5 0.75 0.59
10.04 g4 0.75 0.48
10.79 c5 0.25 0.55
10.79 e4 0.25 0.44
11.04 g4 0.25 0.53
11.04 e5 0.25 0.53
11.29 a4 0.12 0.50
11.41 g4 0.12 0.50
11.54 d5 0.25 0.56
11.54 f4 0.25 0.45
11.79 c5 0.25 0.55
11.79 e4 0.25 0.44
12.04 g#4 0.25 0.54
12.29 e4 0.25 0.50
12.04 b4 0.50 0.54
12.54 b4 0.25 0.56
12.54 g#4 0.25 0.45
12.79 c5 0.25 0.55
12.79 a4 0.25 0.44
13.04 b4 0.25 0.53
13.29 g#4 0.25 0.50
13.04 d5 0.50 0.53
13.54 c5 0.25 0.51
13.79 g#4 0.25 0.50
13.54 e5 0.50 0.51
14.04 a4 0.25 0.54
14.29 e4 0.25 0.50
14.04 c5 0.50 0.54
14.54 a4 0.50 0.53
14.54 e4 0.50 0.45
15.04 a4 0.50 0.57
15.04 e4 0.50 0.46
16.04 e4 1.00 0.59
16.04 c4 1.00 0.48
17.04 c4 1.00 0.57
17.04 a3 1.00 0.46
18.04 d4 1.00 0.59
18.04 b3 1.00 0.48
19.04 b3 1.02 0.57
19.04 g#3 1.02 0.46
20.05 c4 1.00 0.59
20.05 a3 1.00 0.48
21.06 a3 1.00 0.57
22.06 g#3 1.00 0.59
23.06 b3 1.02 0.57
23.06 g#3 1.02 0.46
24.07 e4 1.00 0.59
24.07 c4 1.00 0.48
25.07 c4 1.00 0.57
25.07 a3 1.00 0.46
26.07 d4 1.00 0.59
26.07 b3 1.00 0.48
27.07 b3 1.00 0.57
27.07 g#3 1.00 0.46
28.07 c4 0.50 0.59
28.07 a3 0.50 0.48
28.57 e4 0.50 0.56
28.57 c4 0.50 0.45
29.07 a4 1.00 0.57
29.07 e4 1.00 0.46
30.07 g#4 2.00 0.59
30.07 e4 2.00 0.48
end

# Instrument: Acoustic Grand Piano

part
num_notes 118
0.00 e2 0.25 0.44
0.25 e3 0.25 0.41
0.50 e2 0.25 0.41
0.75 e3 0.25 0.41
1.00 e2 0.25 0.43
1.25 e3 0.25 0.41
1.50 e2 0.25 0.41
1.76 e3 0.26 0.41
2.02 a2 0.25 0.45
2.27 a3 0.25 0.41
2.52 a2 0.25 0.42
2.77 a3 0.25 0.41
3.02 a2 0.25 0.43
3.27 a3 0.25 0.41
3.52 a2 0.25 0.42
3.77 a3 0.25 0.41
4.02 g#2 0.25 0.45
4.27 g#3 0.25 0.41
4.52 g#2 0.25 0.42
4.77 g#3 0.25 0.41
5.02 e2 0.25 0.43
5.27 e3 0.25 0.41
5.52 e2 0.25 0.41
5.78 e3 0.26 0.41
6.03 a2 0.25 0.45
6.29 a3 0.25 0.41
6.54 a2 0.25 0.42
6.79 a3 0.25 0.41
7.04 a2 0.25 0.43
7.29 a3 0.25 0.41
7.54 b2 0.25 0.42
7.79 c3 0.25 0.41
8.04 d3 0.25 0.45
8.29 d2 0.25 0.39
8.79 d2 0.25 0.39
9.29 d2 0.25 0.39
9.54 a2 0.25 0.42
9.79 f2 0.25 0.40
10.04 c2 0.25 0.43
10.29 c3 0.25 0.41
10.79 c3 0.25 0.41
11.04 c2 0.25 0.41
11.29 g2 0.25 0.41
11.79 g2 0.25 0.41
12.04 b2 0.25 0.45
12.29 b3 0.25 0.41
12.79 b3 0.25 0.41
