# Start of Music
bpm 60

num_parts 2

# Instrument: 

part
num_notes 795
0.50 b4 0.12
0.62 a4 0.12
0.75 g#4 0.12
0.88 a4 0.12
1.00 c5 0.25
1.50 d5 0.12
1.62 c5 0.12
1.75 b4 0.12
1.88 c5 0.12
2.00 e5 0.25
2.50 f5 0.12
2.62 e5 0.12
2.75 d#5 0.12
2.88 e5 0.12
3.00 b5 0.12
3.12 a5 0.12
3.25 g#5 0.12
3.38 a5 0.12
3.50 b5 0.12
3.62 a5 0.12
3.75 g#5 0.12
3.88 a5 0.12
4.00 c6 0.50
4.50 a5 0.25
4.75 c6 0.25
5.00 b5 0.25
5.25 a5 0.25
5.25 f#5 0.25
5.50 g5 0.25
5.50 e5 0.25
5.75 a5 0.25
5.75 f#5 0.25
6.00 b5 0.25
6.25 a5 0.25
6.25 f#5 0.25
6.50 g5 0.25
6.50 e5 0.25
6.75 a5 0.25
6.75 f#5 0.25
7.00 b5 0.25
7.25 a5 0.25
7.25 f#5 0.25
7.50 g5 0.25
7.50 e5 0.25
7.75 f#5 0.25
7.75 d#5 0.25
8.00 e5 0.50
8.50 d5 0.12
8.62 c5 0.12
8.75 b4 0.12
8.88 c5 0.12
9.00 d#5 0.25
9.50 f5 0.12
9.62 d#5 0.12
9.75 d5 0.12
9.88 d#5 0.12
10.00 g5 0.25
10.50 g#5 0.12
10.62 g5 0.12
10.75 f#5 0.12
10.88 g5 0.12
11.00 d6 0.12
11.12 c6 0.12
11.25 b5 0.12
11.38 c6 0.12
11.50 d6 0.12
11.62 c6 0.12
11.75 b5 0.12
11.88 c6 0.12
12.00 d#6 0.50
12.50 c6 0.25
12.75 d#6 0.25
13.00 d6 0.25
13.25 c6 0.25
13.25 a5 0.25
13.50 a#5 0.25
13.50 g5 0.25
13.75 c6 0.25
13.75 a5 0.25
14.00 d6 0.25
14.25 c6 0.25
14.25 a5 0.25
14.50 a#5 0.25
14.50 g5 0.25
14.75 c6 0.25
14.75 a5 0.25
15.00 d6 0.25
15.25 c6 0.25
15.25 a5 0.25
