# Start of Music
bpm 60

num_parts 2

# Instrument: 

part
num_notes 342
0.00 d4 0.80
0.00 a#4 0.80
1.07 d4 0.13
1.07 a#4 0.13
1.20 d4 0.13
1.20 a#4 0.13
1.33 d4 0.13
1.33 a#4 0.13
1.47 d4 0.13
1.47 a#4 0.13
1.60 c4 0.27
1.60 a#4 0.27
1.87 c4 0.13
1.87 g#4 0.13
2.00 c4 0.53
2.00 a#4 0.53
2.67 c4 0.13
2.67 a#4 0.13
2.80 c4 0.13
2.80 a#4 0.13
2.93 c4 0.13
2.93 a#4 0.13
3.07 c4 0.13
3.07 a#4 0.13
3.20 c#4 0.27
3.20 a#4 0.27
3.47 c#4 0.13
3.47 g#4 0.13
3.60 c#4 0.67
3.60 a#4 0.67
4.27 c#4 0.13
4.27 a#4 0.13
4.40 c#4 0.13
4.40 a#4 0.13
4.53 c#4 0.13
4.53 a#4 0.13
4.67 c#4 0.13
4.67 a#4 0.13
4.80 c#4 0.20
4.80 a#4 0.20
5.00 c4 0.10
5.00 f4 0.10
5.10 c4 0.10
5.10 f4 0.10
5.20 c4 0.20
5.20 f4 0.20
5.40 c4 0.10
5.40 f4 0.10
5.50 c4 0.10
5.50 f4 0.10
5.60 c4 0.20
5.60 f4 0.20
5.80 c4 0.10
5.80 f4 0.10
5.90 c4 0.10
5.90 f4 0.10
6.00 c4 0.20
6.00 f4 0.20
6.20 c4 0.20
6.20 f4 0.20
6.40 d4 0.40
6.40 f4 0.40
6.40 a#4 0.40
6.80 d4 0.13
6.93 d4 0.13
7.07 c4 0.13
7.20 d4 0.30
7.50 d4 0.10
7.50 a#4 0.10
6.80 f4 0.80
7.60 d4 0.10
7.60 a#4 0.10
7.70 d#4 0.10
7.70 c5 0.10
7.80 f4 0.10
7.80 d5 0.10
7.90 g4 0.10
7.90 d#5 0.10
8.00 f5 0.30
8.30 a#4 0.10
8.40 a#4 0.10
8.50 c5 0.10
8.60 d5 0.10
8.70 d#5 0.10
8.00 g#4 0.80
8.80 f5 0.20
9.00 g#4 0.20
9.00 f5 0.20
9.20 g#4 0.13
9.20 f5 0.13
9.33 a#4 0.13
9.33 f#5 0.13
9.47 c5 0.13
9.47 g#5 0.13
9.60 c#5 0.30
9.60 a#5 0.30
9.90 f#4 0.10
10.00 f#4 0.10
10.10 g#4 0.10
10.20 a#4 0.10
10.30 c5 0.10
10.40 c#5 0.13
10.53 a#5 0.13
10.67 a#5 0.13
10.80 c#5 0.13
10.80 a#5 0.13
10.93 c5 0.13
10.93 g#5 0.13
11.07 a#4 0.13
11.07 f#5 0.13
11.20 c#5 0.27
11.20 g#5 0.27
11.47 g#4 0.13
11.47 f#5 0.13
11.60 g#4 0.13
11.73 g#4 0.13
11.87 f#4 0.13
12.00 g#4 0.30
12.30 g#4 0.10
11.60 f5 0.80
12.40 g#4 0.13
12.53 f#4 0.13
12.67 g#4 0.13
12.40 f5 0.40
12.80 f#4 0.20
12.80 d#5 0.20
13.00 f#4 0.10
13.00 d#5 0.10
13.10 f5 0.10
13.40 f#4 0.10
13.50 g#4 0.10
13.60 a#4 0.40
13.20 f#5 0.80
14.00 g#4 0.20
14.00 f5 0.20
14.20 f#4 0.20
14.20 d#5 0.20
14.40 f4 0.20
14.40 c#5 0.20
14.60 f4 0.10
14.60 c#5 0.10
14.70 d#5 0.10
15.00 f4 0.10
15.10 f#4 0.10
15.20 g#4 0.40
14.80 f5 0.80
15.60 f#4 0.20
15.60 d#5 0.20
15.80 f4 0.20
15.80 c#5 0.20
16.00 e4 0.20
16.00 c5 0.20
16.20 e4 0.10
16.20 c5 0.10
16.30 d5 0.10
